count,species
5669,Emiliania huxleyi HET
2147,Syracosphaera pulchra HET
1750,Rhabdosphaera clavigera HET
1634,Umbellosphaera tenuis HET
1337,Discosphaera tubifera HET
1288,Umbellosphaera irregularis HET
1213,Algirosphaera robusta HET
1190,Gephyrocapsa oceanica HET
1176,Gephyrocapsa ericsonii HET
1147,Calcidiscus leptoporus HET
1027,Syracosphaera molischii HET
1025,Helicosphaera carteri HET
1016,Acanthoica quattrospina HET
907,Florisphaera profunda NANO
820,Umbilicosphaera sibogae HET
804,Syracosphaera mediterranea HET
764,Calciosolenia brasiliensis HET
672,Rhabdosphaera xiphos HET
657,Syracosphaera histrica HET
575,Syracosphaera ossa HET
572,Calciosolenia murrayi HET
512,Ophiaster hydroideus HET
456,Gephyrocapsa muellerae HET
453,Syracosphaera anthos HET
449,Palusphaera vandelii HET
424,Umbilicosphaera hulburtiana HET
382,Helladosphaera cornifera HOL
377,Gladiolithus flabellatus HET
369,Oolithotus antillarum HET
354,Syracosphaera nodosa HET
351,Syracosphaera prolongata HET
342,Michaelsarsia elegans HET
341,Coccolithus pelagicus HET
323,Michaelsarsia adriaticus HET
318,Syracosphaera arethusae HOL
307,Syracosphaera corolla HET
293,Syracosphaera histrica HOL
278,Corisphaera gracilis HOL
274,Ceratolithus cristatus HET
273,Syracosphaera halldalii HET
266,Calcidiscus leptoporus HOL
244,Umbilicosphaera foliosa HET
231,Syracosphaera mediterranea HOL wettsteinii type
218,Syracosphaera anthos HOL
217,Syracosphaera molischii HOL
213,Ophiaster formosus HET
213,Acanthoica acanthifera HET
213,Alisphaera unicornis HET
211,Calciopappus caudatus HET
211,Syracosphaera protrudens HET
208,Syracosphaera marginiporata HET
208,Oolithotus fragilis HET
202,Cyrtosphaera aculeata HET
192,Alisphaera unicornis POL
182,Calyptrolithina divergens HOL
179,Syracosphaera nana HET
179,Syracosphaera rotula HET
175,Sphaerocalyptra quadridentata HOL
171,Syracosphaera pulchra HOL oblonga type
169,Helicosphaera hyalina HET
167,Calciopappus rigidus HET
149,Syracosphaera dilatata HET
142,Syracosphaera bannockii HOL
138,Helicosphaera HOL catilliferus type
138,Syracosphaera aurisinae HET
129,Papposphaera lepida HET
128,Zygosphaera amoena HOL
127,Calyptrosphaera heimdaliae HOL
121,Homozygosphaera spinosa HOL
120,Syracosphaera strigilis HOL
120,Scyphosphaera apsteinii HET
117,Syracosphaera periperforata HOL
112,Syracosphaera hastata HET
111,Umbilicosphaera anulus HET
106,Helicosphaera pavimentum HOL
105,Syracosphaera orbiculus HET
105,Calyptrosphaera sphaeroidea HOL
105,Gephyrocapsa ornata HET
101,Helicosphaera pavimentum HET
100,Syracosphaera magnaghii HOL
92,Helicosphaera wallichii HET
89,Alisphaera gaudii HET
89,Syracosphaera arethusae HET
84,Syracosphaera aurisinae HOL
84,Syracosphaera epigrosa HET
79,Syracosphaera bannockii HET
76,Alisphaera extenta HET
73,Syracosphaera tumularis HET
72,Gephyrocapsa parvula HET
69,Homozygosphaera triarcha HOL
68,Syracosphaera pulchra HOL galea type
67,Syracosphaera ampliora HET
66,Syracosphaera mediterranea HOL gracillima type
62,Picarola margalefii HET
60,Pontosphaera syracusana HET
59,Syracosphaera exigua HET
57,Acanthoica acanthos HET
54,Braarudosphaera bigelowii NANO
54,Syracosphaera noroitica HET
53,Acanthoica quattrospina HOL
52,Syracosphaera borealis HET
51,Syracosphaera squamosa HET
50,Syracosphaera gaarderae HET
50,Corisphaera tyrrheniensis HOL
47,Syracosphaera isselii HOL
47,Calyptrolithina multipora HOL
46,Zygosphaera marsilii HOL
45,Ceratolithus cristatus CER
44,Calicasphaera blokii HOL
43,Sphaerocalyptra adenensis HOL
41,Syracosphaera mediterranea HOL marisrubri type
41,Syracosphaera mediterranea HOL hellenica type
41,Alisphaera pinnigera HET
41,Wigwamma antarctica HET
41,Syracosphaera nana HOL
41,Coccolithus pelagicus HOL
39,Syracosphaera gaarderae HOL
39,Syracosphaera reniformis HET
35,Syracosphaera pulchra HOL pirus type
34,Alisphaera capulata HET
33,Gliscolithus amitakareniae HOL
33,Helicosphaera HOL ponticuliferus type
33,Alisphaera gaudii POL
32,Pappomonas sp. type 5 HET
31,Pappomonas sp. type 3 HET
29,Calicasphaera concava HOL
28,Hayaster perplexus HET
28,Formonsella pyramidosa HET
27,Helladosphaera pienaarii HOL
27,Helicosphaera HOL confusus type
27,Syracosphaera strigilis HET
25,Turrilithus latericioides HET
25,Calicasphaera diconstricta HOL
25,Syracosphaera lafourcadii HOL
25,Algirosphaera cucullata HET
21,Sphaerocalyptra sp. 1 HOL
20,Poritectolithus maximus HOL
20,Syracolithus sp. type A HOL
20,Holococcolithophora dentata HOL
