species,diameter (um) [median],diameter (um) [95 CI lower],diameter (um) [95 CI upper],POC (pg poc) [median],POC (pg poc) [95 CI lower],POC (pg poc) [95 CI upper],PIC (pg pic) [median],PIC (pg pic) [95 CI lower],PIC (pg pic) [95 CI upper],PIC:POC (pg pic: pg poc) [median],PIC:POC (pg pic: pg poc) [95 CI lower],PIC:POC (pg pic: pg poc) [95 CI upper]
Acanthoica acanthifera HET,5.33,5.28,5.37,12.7,12.4,13.0,1.91,1.89,1.94,0.15,0.146,0.155
Acanthoica acanthos HET,7.06,7.02,7.09,34.8,34.3,35.3,9.77,9.63,9.9,0.281,0.276,0.285
Acanthoica quattrospina HET,5.31,5.28,5.33,15.4,15.2,15.6,4.98,4.9,5.06,0.323,0.317,0.331
Acanthoica quattrospina HOL,12.1,12.1,12.2,183.0,181.0,186.0,41.6,41.0,42.2,0.227,0.222,0.231
Algirosphaera cucullata HET,4.68,4.65,4.7,9.4,9.27,9.53,2.95,2.91,2.99,0.314,0.307,0.32
Algirosphaera robusta HET,5.58,5.55,5.62,14.0,13.8,14.2,16.8,16.8,16.9,1.2,1.19,1.22
Alisphaera capulata HET,5.45,5.42,5.49,17.3,17.0,17.7,2.07,2.03,2.1,0.119,0.117,0.122
Alisphaera extenta HET,7.19,7.15,7.22,39.8,39.3,40.4,10.2,10.0,10.3,0.255,0.25,0.262
Alisphaera gaudii HET,6.9,6.87,6.93,26.8,26.4,27.1,8.89,8.78,9.0,0.332,0.327,0.338
Alisphaera gaudii POL,6.47,6.44,6.5,23.3,23.0,23.6,4.41,4.31,4.51,0.189,0.183,0.194
Alisphaera pinnigera HET,9.82,9.78,9.87,99.8,98.4,101.0,24.7,24.4,25.1,0.248,0.243,0.252
Alisphaera unicornis HET,10.5,10.5,10.6,102.0,101.0,104.0,30.7,30.3,31.1,0.3,0.293,0.306
Alisphaera unicornis POL,14.2,14.2,14.3,305.0,301.0,310.0,68.7,67.8,69.7,0.225,0.22,0.229
Braarudosphaera bigelowii NANO,9.74,9.71,9.77,103.0,102.0,104.0,23.5,23.4,23.7,0.229,0.226,0.231
Calcidiscus leptoporus HET,11.5,11.5,11.5,131.0,131.0,132.0,241.0,238.0,243.0,1.83,1.81,1.85
Calcidiscus leptoporus HOL,12.0,12.0,12.1,155.0,152.0,157.0,43.4,42.7,44.0,0.281,0.276,0.285
Calciopappus caudatus HET,3.55,3.54,3.57,3.98,3.92,4.04,1.46,1.44,1.48,0.367,0.359,0.375
Calciopappus rigidus HET,5.07,5.05,5.1,10.6,10.5,10.7,3.88,3.83,3.93,0.365,0.359,0.371
Calciosolenia brasiliensis HET,9.68,9.64,9.73,99.5,98.2,101.0,23.1,22.8,23.4,0.233,0.228,0.236
Calciosolenia murrayi HET,6.58,6.54,6.62,26.9,26.5,27.4,2.83,2.77,2.89,0.105,0.103,0.108
Calicasphaera blokii HOL,4.03,4.02,4.05,6.08,6.0,6.16,-1.16,-1.18,-1.14,-0.19,-0.194,-0.186
Calicasphaera concava HOL,3.41,3.4,3.43,3.92,3.86,3.97,-0.57,-0.584,-0.557,-0.146,-0.15,-0.142
Calicasphaera diconstricta HOL,7.07,7.04,7.11,37.5,36.9,38.0,7.22,7.09,7.34,0.192,0.188,0.196
Calyptrolithina divergens HOL,5.16,5.14,5.18,13.7,13.5,13.9,0.516,0.465,0.562,0.0381,0.0349,0.0414
Calyptrolithina multipora HOL,12.1,12.0,12.1,141.0,140.0,143.0,53.3,53.1,53.4,0.376,0.373,0.381
Calyptrosphaera heimdaliae HOL,6.56,6.54,6.6,29.6,29.2,30.0,4.79,4.69,4.89,0.161,0.158,0.165
Calyptrosphaera sphaeroidea HOL,7.16,7.13,7.19,43.5,42.9,44.0,8.28,8.16,8.4,0.191,0.187,0.194
Ceratolithus cristatus CER,5.41,5.39,5.44,11.5,11.4,11.7,4.26,4.2,4.31,0.37,0.362,0.377
Ceratolithus cristatus HET,11.9,11.9,12.0,169.0,167.0,171.0,46.6,46.0,47.2,0.276,0.271,0.28
Coccolithus pelagicus HET,12.6,12.6,12.7,138.0,136.0,140.0,419.0,410.0,428.0,3.02,2.95,3.1
