count,species
19,Syracolithus sp. type A
19,Syracosphaera leptolepsis
18,Holococcolithophora dentata
18,Scyphosphaera apsteinii HOL
18,Ophiaster minimus
15,Tetralithoides quadrilaminata
15,Ophiaster macrospinus
15,Chrysotila carterae
14,Alisphaera ordinata
14,Papposphaera sp. type 3
14,Pappomonas vexillata
14,Ophiaster reductus
12,Syracosphaera castellata
12,Polycrater sp. ladle-like
11,Syracosphaera mediterranea HOL hellenica type
10,Algirosphaera cucullata
10,Syracosphaera marginiporata HOL
10,Poritectolithus maximus
10,Kataspinifera baumannii
10,Syracosphaera andruleitii
10,Calyptrosphaera sphaeroidea
9,Pileolosphaera longistirpes
8,Pappomonas borealis
8,Cyrtosphaera cidaris
7,Sphaerocalyptra sp. 1
7,Alisphaera quadrilatera
7,Syracosphaera nana
7,Syracosphaera pulchra HOL pirus type
7,Poritectolithus poritectus
7,Papposphaera arctica
6,Papposphaera sp. type 4
6,Sphaerocalyptra youngii
6,Flosculosphaera calceolariopsis
6,Helladosphaera vavilovii
6,Pontosphaera japonica
5,Pappomonas sp. type 4
5,Syracolithus quadriperforatus
5,Syracosphaera florida
4,Vexillarius cancellifer
4,Solisphaera galbula
4,Syracosphaera orbiculus HOL
4,Acanthoica maxima
4,Papposphaera sp. type 1
3,Syracolithus bicorium
3,Syracosphaera mediterranea COMB
3,Pontosphaera discopora
3,Canistrolithus valliformis
3,Solisphaera turbinella
3,Calciosolenia corselli
2,Syracolithus schilleri
2,Syracosphaera maxima
2,Holococcolithophora cialdii
2,Holococcolithophora kastriensis
2,Hughesius youngii
2,Pontosphaera japonica HOL
2,Syracosphaera rhombica
2,Ochrosphaera neapolitana
2,Acanthoica quattrospina COMB
2,Ceratolithus vidalii HET
2,Syracosphaera serrata
2,Sphaerocalyptra dermitzakii
2,Syracosphaera strigilis COMB
2,Solisphaera emidasia
2,Placorhombus ziveriae
2,Chrysotila roscoffensis
1,Syracosphaera rotaconica HOL
1,Syracosphaera pulchra COMB
1,Tergestiella adriatica
1,Balaniger virgulosa
1,Alisphaera unicornis COMB
1,Vexillarius iaculifer
1,Syracosphaera bannockii COMB
1,Hymenomonas roseola
1,Syracosphaera azureaplaneta
1,Syracosphaera arethusae COMB
1,Navilithus altivelum
1,Pappomonas flabellifera
1,Papposphaera sagittifera
1,Solisphaera helianthiformis
1,Papposphaera sp. type 2
1,Papposphaera thomsenii
1,Pseudowigwamma scenozonion
1,Pontosphaera multipora
1,Wigwamma triradiata
